Country,Code,Year,Homicide Rate
5,5,1992,0.74845576
5,5,1993,0.90498024
5,5,1994,0.53254944
5,5,1995,0.8006264
5,5,1996,1.1221623
5,5,1997,0.6955952
5,5,1998,0.96525097
5,5,1999,0.6989097
5,5,2000,0.7564427
5,5,2001,0.7080606
5,5,2002,0.43867466
5,5,2003,0.5505535
5,5,2004,0.6072366
5,5,2005,0.7748819
5,5,2006,0.66766554
5,5,2007,0.5044498
5,5,2008,0.28246227
5,5,2009,0.22799532
5,5,2010,0.17264467
5,5,2011,0.5229563
5,5,2012,0.29304424
5,5,2013,0.118031844
5,5,2014,0.118485585
5,5,2015,0.29441345
5,5,2016,0.4084748
5,5,2017,0.40729454
5,5,2018,0.5236665
5,5,2019,0.34896544
5,5,2020,0.34910837
6,6,1981,0.59521586
6,6,1982,0.53027874
6,6,1985,0.39337426
6,6,1986,0.6497893
6,6,1987,0.8981642
6,6,1988,0.79028994
6,6,1989,0.34357134
6,6,1990,1.45092
6,6,1991,0.91339993
6,6,1992,23.4985
6,6,1993,22.414206
6,6,1994,32.253284
6,6,1995,4.0588927
6,6,1996,2.4693687
6,6,1997,1.9741429
6,6,1998,2.3995712
6,6,1999,2.5610504
6,6,2000,1.0167178
6,6,2001,0.66196907
6,6,2002,0.8189633
6,6,2003,0.8878075
6,6,2004,0.7719602
6,6,2007,0.031585757
7,10,1975,2.9354782
7,10,1979,3.7959669
7,10,1980,2.837765
7,10,1981,3.7689981
7,10,1984,6.4903154
7,10,1985,8.286911
7,10,1987,7.2390327
7,10,1993,6.773691
7,10,1994,5.8591623
7,10,1995,4.1422276
7,10,1996,8.204724
7,10,1997,11.38415
7,10,1998,9.659191
7,10,1999,4.792447
7,10,2000,7.1595626
7,10,2001,3.9686635
7,10,2002,7.1312547
7,10,2003,7.115637
7,10,2004,4.7293997
7,10,2005,5.4983897
7,10,2006,7.0361423
7,10,2007,10.863661
7,10,2008,6.1507235
7,10,2009,8.377123
7,10,2010,6.0730743
7,10,2011,3.814639
7,10,2012,9.999077
7,10,2013,11.684063
7,10,2014,12.635237
7,10,2015,7.9946914
8,9,1997,0.3773243
8,9,1998,0.3731984
8,9,1999,0.37032923
8,9,2001,0.3680286
8,9,2012,0.31314096
8,9,2014,0.29454386
9,15,1962,0.90732574
9,15,1964,0.88568467
9,15,1966,0.87346923
9,15,1967,2.6130128
9,15,1968,2.6124895
9,15,1971,1.75852
9,15,1972,1.77104
9,15,1973,2.679289
9,15,1974,1.8045819
9,15,1975,4.5668354
9,15,1976,1.8527439
9,15,1978,0.95711184
9,15,1979,3.8978376
9,15,1980,1.9902279
9,15,1981,4.073071
9,15,1982,2.0814254
9,15,1983,2.1225564
9,15,1984,1.0798087
9,15,1985,3.289185
9,15,1987,1.1248974
9,15,1989,6.8925905
9,15,1990,4.651704
9,15,1991,7.0809827
9,15,1992,8.38233
9,15,1993,1.2145208
9,15,1994,4.922229
9,15,1995,1.2453611
9,15,2000,1.2868191
9,15,2001,3.8764699
9,15,2002,7.7914996
9,15,2003,5.2344375
9,15,2004,3.957836
9,15,2005,1.328992
9,15,2006,4.0116606
9,15,2007,2.683123
9,15,2008,4.0214477
9,15,2009,1.3410399
9,15,2010,5.3987665
9,15,2011,1.3636054
10,12,1981,0.9410803
10,12,1982,1.5065627
10,12,1985,1.1158824
10,12,1986,1.1083833
10,12,1987,1.6815223
10,12,1988,1.3476561
10,12,1989,1.4986174
10,12,1990,1.4313169
10,12,1991,1.6243383
10,12,1992,1.8225898
10,12,1993,2.1233773
10,12,1994,2.306017
10,12,1995,2.4020016
10,12,1996,2.6756918
10,12,1997,2.5249941
10,12,1998,1.9200472
10,12,1999,2.1101656
10,12,2000,2.090801
10,12,2001,1.5822713
10,12,2002,2.05732
10,12,2003,1.5654647
10,12,2007,0.7825918
10,12,2008,0.852284
10,12,2009,0.72604525
10,12,2010,0.58998066
10,12,2011,0.6459634
10,12,2013,0.64764744
10,12,2014,0.5441482
10,12,2018,0.09527185
11,7,1954,0.3621267
11,7,1955,0.5568436
11,7,1956,0.23560262
11,7,1957,0.34861115
11,7,1958,0.30560175
11,7,1959,0.41397488
11,7,1960,0.2958358
11,7,1961,0.43427172
11,7,1962,0.4248302
11,7,1963,0.4521481
11,7,1964,0.37690982
11,7,1965,0.5072177
11,7,1966,0.60400355
11,7,1967,0.23424995
11,7,1968,0.5347538
11,7,1969,0.400806
11,7,1970,0.5004369
11,7,1971,0.5663901
11,7,1972,0.59978825
11,7,1973,0.33426327
11,7,1974,0.6053177
11,7,1975,0.4748554
11,7,1976,0.2740333
11,7,1977,0.3808152
11,7,1978,0.2801984
11,7,1979,0.92213523
11,7,1980,0.82599634
11,7,1981,0.290949
11,7,1982,0.6633905
11,7,1983,0.7479177
11,7,1984,1.0644182
11,7,1985,1.1591883
11,7,1986,1.3323709
11,7,1987,0.9117635
11,7,1988,0.84022784
11,7,1989,0.6451868
11,7,1990,0.40604767
11,7,1991,0.8166979
11,7,1992,0.8610598
11,7,1993,0.9045643
11,7,1994,0.6179505
11,7,1995,0.78336465
11,7,1996,0.86575377
11,7,1997,0.9069274
11,7,1998,0.9073471
11,7,1999,1.6514179
11,7,2000,1.1156601
11,7,2001,1.0336425
11,7,2002,0.9101048
11,7,2003,1.1165837
11,7,2004,0.86671925
11,7,2005,0.9458026
11,7,2006,0.81880164
11,7,2007,1.1002812
11,7,2008,0.851538
11,7,2009,0.4438573
11,7,2010,0.4819852
11,7,2011,0.48017228
11,7,2012,0.6781235
11,7,2013,0.59617233
11,7,2014,0.5142334
11,7,2015,0.51159936
11,7,2016,0.19588155
11,7,2017,0.42932257
11,7,2018,0.505724
12,13,1991,1.9554547
12,13,1997,1.7440593
12,13,1998,6.8285604
12,13,1999,6.6803055
12,13,2000,5.7203097
12,13,2001,3.9942164
12,13,2002,3.9007342
12,13,2003,5.3395576
12,13,2004,5.2251673
12,13,2005,5.1165853
12,13,2006,7.162811
12,13,2007,0.7026172
12,13,2008,3.450346
12,13,2009,8.146197
12,13,2010,14.105699
12,13,2011,12.693492
12,13,2012,10.636884
12,13,2013,8.602663
12,13,2014,7.247666
12,13,2015,8.532255
12,13,2016,10.465178
13,11,1986,0.065737315
13,11,1987,0.06633772
14,14,1979,2.2492216
14,14,1980,3.0110216
14,14,1981,3.1185956
14,14,1982,3.0429904
14,14,1983,3.582799
14,14,1984,4.041527
14,14,1985,4.4843802
14,14,1986,4.777183
14,14,1987,5.118348
14,14,1988,5.1069393
14,14,1989,6.585063
14,14,1990,7.333966
14,14,1991,6.790585
14,14,1992,5.997788
14,14,1993,6.872417
14,14,1994,7.3949175
14,14,1995,8.445504
14,14,1996,8.77197
14,14,1997,9.429162
14,14,1998,10.164696
14,14,1999,10.418745
14,14,2000,11.538467
14,14,2001,12.075576
14,14,2002,12.623808
14,14,2003,12.658211
14,14,2004,12.0512295
14,14,2005,12.218638
14,14,2006,12.388144
14,14,2007,12.11585
14,14,2008,12.42925
14,14,2009,12.660868
14,14,2010,13.205783
14,14,2011,13.624329
14,14,2012,15.676363
14,14,2013,16.366524
14,14,2014,17.464739
14,14,2015,16.772326
14,14,2016,17.81466
14,14,2017,18.498344
14,14,2018,15.403228
14,14,2019,11.152962
15,16,1996,1.4412545
15,16,1998,0.69595236
15,16,2000,2.044112
15,16,2004,0.6811432
15,16,2005,0.68598866
15,16,2012,0.72719866
16,8,1964,0.7008427
16,8,1965,0.9236606
16,8,1966,1.0770344
16,8,1967,0.78473634
16,8,1968,0.78709376
16,8,1969,1.1238418
16,8,1970,0.6358468
16,8,1971,1.1577272
16,8,1972,1.1204076
16,8,1973,1.1208748
16,8,1974,0.96943086
16,8,1975,0.8183388
16,8,1976,0.5204198
16,8,1977,0.5948767
16,8,1978,0.744684
16,8,1979,0.7839334
16,8,1980,0.97532064
16,8,1981,0.75599647
16,8,1982,1.6003213
16,8,1983,0.5377494
16,8,1984,1.2014353
16,8,1985,1.1341438
16,8,1986,0.82785994
16,8,1987,0.7548798
16,8,1988,0.9642078
16,8,1989,0.9784736
16,8,1990,1.1182181
16,8,1991,1.1376032
16,8,1992,1.2878023
16,8,1993,1.5789453
16,8,1994,1.3521992
16,8,1995,1.11629
16,8,1996,1.2497356
16,8,1997,1.0950509
16,8,1998,1.4959419
16,8,1999,1.0133404
16,8,2000,1.2090343
16,8,2001,1.2433559
16,8,2002,1.0456477
16,8,2003,0.77565265
16,8,2004,0.79562044
16,8,2005,0.43861437
16,8,2006,0.3845089
16,8,2007,0.523626
16,8,2008,0.7344688
16,8,2009,0.8163343
16,8,2010,0.48468935
16,8,2011,0.56347036
16,8,2012,0.5007755
16,8,2013,0.5810516
16,8,2014,0.5153315
16,8,2015,0.2973226
16,8,2016,0.14985561
16,8,2017,0.3766711
16,8,2018,0.60491675
16,8,2019,0.30517602
